neighbors, CV_SCORE, TRAIN_SCORE, TEST_SCORE
1, 0.4671657060491322, 1.0, 0.471875
2, 0.4462416080892101, 0.73421875, 0.44
3, 0.4893741476500996, 0.69953125, 0.470625
4, 0.5052919441933688, 0.6790625, 0.491875
5, 0.5123339473449019, 0.661875, 0.509375
6, 0.5190467606732171, 0.64390625, 0.513125
7, 0.5364109395381579, 0.64171875, 0.518125
8, 0.5318779101617491, 0.63109375, 0.52875
9, 0.5368742902732133, 0.6259375, 0.535
10, 0.5399913144612051, 0.61625, 0.540625
11, 0.5484388978868702, 0.6084375, 0.5475
12, 0.5515670805608095, 0.6084375, 0.550625
13, 0.5548488682997835, 0.60890625, 0.556875
14, 0.5573501236489714, 0.60609375, 0.55
15, 0.5551626372752929, 0.60390625, 0.555625
16, 0.5600086086219837, 0.60390625, 0.5625
17, 0.5617295593796873, 0.5996875, 0.56625
18, 0.5626719574988094, 0.60140625, 0.56
19, 0.562356514085229, 0.59921875, 0.56625
20, 0.5653172837311135, 0.5971875, 0.56625
21, 0.564848540565632, 0.59953125, 0.5675
22, 0.5662499403735715, 0.59796875, 0.568125
23, 0.5665624289969456, 0.5934375, 0.568125
24, 0.56860781965389, 0.59625, 0.566875
25, 0.5712567909485398, 0.5975, 0.56875
26, 0.5731362083826799, 0.59625, 0.573125
27, 0.5742214767973106, 0.59359375, 0.57125
28, 0.5739062771434804, 0.59359375, 0.5725
29, 0.5740661813327563, 0.59609375, 0.57125
30, 0.5742175400908683, 0.594375, 0.570625
31, 0.5739086942801441, 0.59765625, 0.57
32, 0.5750019750145036, 0.59640625, 0.57
33, 0.5770410528781692, 0.595, 0.5725
34, 0.5773535597126876, 0.594375, 0.570625
35, 0.5787576432130087, 0.5959375, 0.5725
36, 0.5787525013768519, 0.5946875, 0.573125
37, 0.5795340042635322, 0.5940625, 0.5725
38, 0.5811016529769235, 0.59578125, 0.570625
39, 0.5806363134064491, 0.595, 0.57
40, 0.5817244864772444, 0.595, 
